"Origin Station Complex Name","Destination Station Complex Name","Origin Station Complex ID","Destination Station Complex ID","Origin Point","Destination Point","avg_estimated_average_ridership"
"Beach 44 St (A)","Grand St (L)","206","123","POINT (-73.776013 40.592943)","POINT (-73.94067 40.711926)","0.323"
"30 Av (N,W)","Simpson St (2,5)","3","430","POINT (-73.921479 40.766779)","POINT (-73.893064 40.824073)","0.56926666667"
"Northern Blvd (M,R)","2 Av (F)","269","232","POINT (-73.906006 40.752885)","POINT (-73.989938 40.723402)","1.53152"
"Pelham Pkwy (5)","Grand Central-42 St (S,4,5,6,7)","445","610","POINT (-73.855359 40.858985)","POINT (-73.977359 40.751992)","20.34906"
"80 St (A)","New Lots Av (L)","190","136","POINT (-73.858992 40.679371)","POINT (-73.899232 40.658733)","1.03125"
"Nereid Av (2,5)","Eastchester-Dyre Av (5)","417","442","POINT (-73.854376 40.898379)","POINT (-73.830834 40.8883)","0.52056666667"
"183 St (4)","South Ferry (1)/Whitehall St (R,W)","383","635","POINT (-73.903879 40.858407)","POINT (-74.013329 40.702578)","0.32465"
"190 St (A)","Woodhaven Blvd (M,R)","145","264","POINT (-73.93418 40.859022)","POINT (-73.869229 40.733106)","0.28105"
"Knickerbocker Av (M)","Seneca Av (M)","113","111","POINT (-73.919711 40.698664)","POINT (-73.90774 40.702762)","2.24565"
"121 St (J,Z)","Carroll St (F,G)","80","237","POINT (-73.828294 40.700492)","POINT (-73.995048 40.680303)","0.2952"
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","104 St (A)","624","193","POINT (-74.009552 40.712603)","POINT (-73.837683 40.681711)","1.31616666667"
"West Farms Sq-E Tremont Av (2,5)","Bedford Park Blvd-Lehman College (4)","427","380","POINT (-73.880049 40.840295)","POINT (-73.890064 40.873412)","0.84705"
"28 St (6)","West Farms Sq-E Tremont Av (2,5)","404","427","POINT (-73.984264 40.74307)","POINT (-73.880049 40.840295)","0.99035"
"DeKalb Av (L)","Avenue N (F)","127","248","POINT (-73.918425 40.703811)","POINT (-73.974197 40.61514)","0.607325"
"82 St-Jackson Hts (7)","Central Av (M)","453","114","POINT (-73.883697 40.747659)","POINT (-73.927397 40.697857)","0.3097"
"Inwood-207 St (A)","Bedford Av (L)","143","120","POINT (-73.919899 40.868072)","POINT (-73.956872 40.717304)","2.336775"
"E 149 St (6)","5 Av/59 St (N,R,W)","373","8","POINT (-73.904098 40.812118)","POINT (-73.973347 40.764811)","0.840575"
"Sheepshead Bay (B,Q)","49 St (N,R,W)","54","10","POINT (-73.954155 40.586896)","POINT (-73.984139 40.759901)","2.96748"
